"gvkey","company_name","final_commitment_year","commitment_date_source","match_method"
"100001","ACCOR S.A.",2020,"historical_committed","ISIN"
"100022","BMW Group",2020,"historical_committed","ISIN"
"100048","Fanuc Corporation",2021,"inferred_from_targets_set","ISIN"
"100060","Travis Perkins",2016,"historical_committed","ISIN"
"100080","Bayer AG",2019,"historical_committed","ISIN"
"100083","Beiersdorf AG",2019,"inferred_from_targets_set","ISIN"
"100103","Lufthansa Group",2021,"inferred_from_targets_set","LEI"
"100122","Senior Plc",2015,"historical_committed","ISIN"
"100131","Tesco",2016,"inferred_from_targets_set","ISIN"
"100132","Morrisons",2021,"inferred_from_targets_set","ISIN"
"100135","Tate & Lyle PLC",2019,"inferred_from_targets_set","ISIN"
"100140","Nissin Foods Holdings Co., Ltd.",2019,"inferred_from_targets_set","ISIN"
"100153","Nippon Yusen Kabushiki Kaisha",2019,"inferred_from_targets_set","ISIN"
"10016","Stanley Black & Decker",2019,"inferred_from_targets_set","ISIN"
"100171","BARRATT DEVELOPMENTS PLC",2019,"historical_committed","ISIN"
"100226","Murata Manufacturing Co., Ltd.",2020,"historical_committed","ISIN"
"100253","Ajinomoto Co., Inc.",2019,"historical_committed","ISIN"
"100290","ONO PHARMACEUTICAL CO., LTD.",2019,"inferred_from_targets_set","ISIN"
"100336","Daiichi Sankyo Co., Ltd.",2016,"inferred_from_targets_set","ISIN"
"100346","Carrefour",2016,"historical_committed","ISIN"
"100368","GEA Group",2020,"inferred_from_targets_set","ISIN"
"100373","Heidelberg Materials",2019,"inferred_from_targets_set","ISIN"
"100388","SCREEN Holdings Co., Ltd.",2019,"inferred_from_targets_set","ISIN"
"100397","Haseko Corporation",2021,"inferred_from_targets_set","ISIN"
"100418","Eisai Co., Ltd.",2019,"inferred_from_targets_set","ISIN"
"100461","Brambles",2020,"historical_committed","ISIN"
"100486","Nikon Corporation",2019,"inferred_from_targets_set","ISIN"
"100490","Konica Minolta, Inc.",2015,"historical_committed","ISIN"
"100519","Brother Industries, Ltd.",2019,"inferred_from_targets_set","ISIN"
"100522","MITSUI FUDOSAN CO., LTD.",2020,"inferred_from_targets_set","ISIN"
"100547","MARUI GROUP CO.,LTD.",2019,"inferred_from_targets_set","ISIN"
"100572","Pearson PLC",2019,"inferred_from_targets_set","ISIN"
"100581","L'Oréal",2017,"historical_committed","ISIN"
"100583","Maeda Corporation",2019,"inferred_from_targets_set","ISIN"
"100590","E.ON SE",2021,"historical_committed","ISIN"
"100602","Fyffes",2020,"inferred_from_targets_set","ISIN"
"100609","Continental",2019,"inferred_from_targets_set","ISIN"
"100635","Corbion",2018,"historical_committed","ISIN"
"100640","SEKISUI CHEMICAL CO., LTD",2019,"inferred_from_targets_set","ISIN"
"100665","CLP Holdings Limited",2015,"historical_committed","ISIN"
"100668","Astellas Pharma Inc.",2019,"inferred_from_targets_set","ISIN"
"100689","SUMITOMO CHEMICAL Co., Ltd.",2019,"inferred_from_targets_set","ISIN"
"100692","Nippon Sheet Glass, Co., Ltd. (NSG Group).",2019,"inferred_from_targets_set","ISIN"
"100699","Sharp Corporation",2019,"inferred_from_targets_set","ISIN"
"100702","USHIO INC.",2019,"historical_committed","ISIN"
"100706","Keppel Land",2021,"inferred_from_targets_set","ISIN"
"100707","Shionogi & Co.,Ltd",2020,"historical_committed","ISIN"
"100718","Takeda Pharmaceutical Company",2017,"historical_committed","ISIN"
"100721","OKI Electric Industry Co., Ltd.",2022,"historical_committed","ISIN"
"100728","Bellway Homes Limited",2021,"inferred_from_targets_set","ISIN"
"100729","TOPPAN Holdings INC.",2018,"inferred_from_targets_set","ISIN"
